Annee,Marque,Module,Nombre de portes,Kilometrage,Puissance_fiscale,Auto_manuel_Automatique,Auto_manuel_Manuelle,Carburant_diesel,Carburant_electrique,Carburant_essence,Carburant_hybride,Carburant_lpg,Première main_Non,Première main_Oui,Etat_Bon,Etat_Correct,Etat_Endommagé,Etat_Excellent,Etat_Neuf,Etat_Très bon,Prix
0.9333333333333371,196818.5437817259,276908.59030837007,1.0,0.206029736623645,0.10810810810810811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.6813186813186813
0.75555555555556,268029.30297029705,282559.5706356666,1.0,0.3266325092813884,0.21621621621621623,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.7362637362637363
0.9111111111111114,121840.40992907801,153045.65610805995,1.0,0.19095439004142706,0.05405405405405406,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.32747252747252753
0.9111111111111114,146213.4646680942,137238.0964962946,1.0,0.1206027726577434,0.13513513513513514,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.43076923076923085
0.9555555555555557,200854.29242819842,190304.72450001223,1.0,0.10050231054811949,0.05405405405405406,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0.43076923076923085
0.9333333333333371,118201.47133757961,151602.7879578612,0.0,0.19095439004142706,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.29670329670329676
0.8000000000000043,176153.30788485607,169473.59735973357,1.0,0.206029736623645,0.13513513513513514,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5230769230769231
0.9555555555555557,125324.69187358917,124744.38806037989,1.0,0.1407032347673673,0.05405405405405406,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.4681318681318682
0.75555555555556,192315.40630674636,146282.82177185995,1.0,0.38693389561026004,0.10810810810810811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.2087912087912088
0.9111111111111114,118201.47133757961,117728.15884508955,0.0,0.206029736623645,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.28351648351648356
0.9333333333333371,121840.40992907801,116634.16095878277,1.0,0.24623066084289275,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.2857098901098902
0.9333333333333371,181599.68157894738,83260.07252439958,1.0,0.206029736623645,0.05405405405405406,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0.21757802197802198
0.8444444444444485,99232.26241162152,107372.39450772558,1.0,0.206029736623645,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.2175824175824176
0.8222222222222229,125324.69187358917,96822.39163688036,1.0,0.24623066084289275,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0.19780219780219782
0.9333333333333371,106942.26906474821,127249.9496644612,1.0,0.1206027726577434,0.08108108108108109,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.29670329670329676
0.6666666666666714,268029.30297029705,282559.5706356666,1.0,0.44723528193913176,0.21621621621621623,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.2307692307692308
0.9333333333333371,179180.322410148,256217.86092710053,1.0,0.22613019873326887,0.05405405405405406,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.6329604395604396
0.6444444444444457,137954.02807025844,145630.12728238385,1.0,0.22613019873326887,0.10810810810810811,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.1076923076923077
0.9333333333333371,118201.47133757961,151602.7879578612,1.0,0.28643158506214056,0.05405405405405406,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.3494505494505495
0.9111111111111114,121840.40992907801,153045.65610805995,1.0,0.24623066084289275,0.05405405405405406,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.40219340659340663
0.20000000000000284,118201.47133757961,125870.52245525239,1.0,0.6482399030353707,0.05405405405405406,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.06373626373626373
0.6000000000000014,179180.322410148,172297.72929794478,1.0,0.5477375924872513,0.13513513513513514,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.14285714285714288
0.8000000000000043,142593.84212577133,133426.64192911045,0.0,0.17085392793180315,0.10810810810810811,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0.20439560439560442
0.8666666666666671,118201.47133757961,117728.15884508955,1.0,0.3266325092813884,0.05405405405405406,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0.2153846153846154
0.8888888888888928,196818.5437817259,201488.70962611923,1.0,0.1608036968769912,0.10810810810810811,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.4505494505494506
0.7111111111111157,196818.5437817259,131606.49169145743,1.0,0.3668334335006362,0.10810810810810811,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0.24175824175824176
0.8666666666666671,118201.47133757961,135752.10552790045,1.0,0.19095439004142706,0.05405405405405406,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.3516483516483517
0.7111111111111157,209497.70095238095,159643.60210358375,1.0,0.44723528193913176,0.10810810810810811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.30769230769230776
0.7111111111111157,209497.70095238095,159643.60210358375,1.0,0.44723528193913176,0.10810810810810811,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0.30769230769230776
0.8000000000000043,200854.29242819842,188837.5875658666,1.0,0.1809041589866151,0.10810810810810811,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.47252747252747257
