Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
175000,2012,Automatique,essence,Porsche,Panamera,5,Non,Excellent,92499,21
308000,2018,Automatique,diesel,Volvo,XC90,5,Oui,Excellent,82499,10
106000,2011,Manuelle,diesel,Peugeot,3008,5,Non,Excellent,194999,6
205000,2016,Automatique,diesel,Audi,A5,5,Non,Très bon,164999,8
109000,2016,Manuelle,diesel,Ford,Fiesta,5,Non,Excellent,114999,6
58000,2006,Manuelle,diesel,Citroen,C4,5,Non,Très bon,274999,6
120000,2019,Manuelle,diesel,Dacia,Logan,5,Oui,Neuf,104999,6
45000,2009,Manuelle,essence,Honda,Civic,3,Non,Excellent,12499,7
215000,2020,Automatique,diesel,Citroen,C5,5,Oui,Excellent,104999,8
79000,2007,Automatique,diesel,Citroen,C4,5,Non,Très bon,194999,8
350000,2025,Automatique,hybride,Hyundai,Tucson,5,Oui,Neuf,2499,9
190000,2014,Automatique,diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,144999,8
206000,2022,Manuelle,diesel,Renault,Captur,5,Oui,Très bon,17499,6
138000,2018,Manuelle,diesel,Fiat,500X,5,Oui,Très bon,144999,6
360000,2022,Automatique,diesel,Mercedes-Benz,Classe A,5,Oui,Excellent,154999,8
290000,2018,Automatique,diesel,BMW,X5,5,Non,Bon,97499,8
122000,2019,Manuelle,diesel,Renault,Clio,5,Oui,Excellent,92499,6
118000,2014,Automatique,electrique,Renault,Zoe,5,Oui,Excellent,7499,6
217000,2021,Automatique,diesel,Volkswagen,Golf 7,5,Non,Excellent,114999,8
186000,2019,Manuelle,diesel,Ford,Kuga,5,Non,Excellent,114999,6
335000,2020,Automatique,diesel,Land Rover,Range Rover,5,Oui,Excellent,82499,8
205000,2019,Automatique,diesel,Alfa Romeo,Stelvio,5,Oui,Très bon,184999,8
259000,2022,Automatique,diesel,Kia,Sportage,5,Oui,Excellent,77499,8
118000,2018,Manuelle,essence,Toyota,Yaris,5,Oui,Très bon,27499,6
410000,2021,Automatique,diesel,Volkswagen,Touareg,5,Oui,Excellent,92499,12
380000,2019,Automatique,diesel,BMW,Série 5,5,Oui,Excellent,114999,8
365000,2020,Automatique,diesel,Mercedes-Benz,Classe E,5,Non,Excellent,52499,8
198000,2022,Automatique,hybride,Kia,Niro,5,Oui,Excellent,72499,6
279000,2016,Automatique,diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,134999,8
89000,2015,Manuelle,diesel,Nissan,Note,5,Oui,Excellent,194999,6
210000,2022,Automatique,diesel,Fiat,500X,5,Oui,Excellent,82499,6
109000,2011,Automatique,diesel,Volkswagen,Touareg,5,Non,Très bon,194999,12
260000,2019,Manuelle,diesel,Toyota,Hilux,5,Oui,Correct,92499,10
49000,2000,Automatique,diesel,Mercedes-Benz,220,5,Non,Très bon,22499,8
165000,2018,Automatique,diesel,Renault,Megane,5,Non,Très bon,174999,6
225000,2021,Automatique,diesel,Nissan,Qashqai,5,Oui,Neuf,92499,6
54000,2008,Manuelle,essence,Kia,Picanto,5,Non,Très bon,194999,5
